"NCBI","name","skin_genus_prevalence","vagina_genus_prevalence","oralcavity_genus_prevalence","nasalcavity_genus_prevalence","stool_genus_prevalence"
"   1279","Staphylococcus",0.988950276243094,0.0631578947368421,0.0393939393939394,0.869565217391304,0.0168486739469579
"1912216","Cutibacterium",0.958563535911602,0.0631578947368421,0.301515151515152,0.989130434782609,0.0321372854914197
"  55193","Malassezia",0.864640883977901,0.0105263157894737,0.00606060606060606,0.66304347826087,0.000416016640665627
"   1716","Corynebacterium",0.834254143646409,0.0421052631578947,0.822727272727273,0.83695652173913,0.0365054602184087
"   1301","Streptococcus",0.726519337016575,0.0842105263157895,0.989393939393939,0.41304347826087,0.864274570982839
"   1269","Micrococcus",0.624309392265193,0,0.0106060606060606,0.0108695652173913,0.000832033281331253
" 150022","Finegoldia",0.549723756906077,0.0736842105263158,0,0.228260869565217,0.0388975559022361
"    475","Moraxella",0.538674033149171,0,0.0196969696969697,0.33695652173913,0.00208008320332813
"  32207","Rothia",0.502762430939227,0.0421052631578947,0.986363636363636,0.16304347826087,0.189599583983359
" 212791","Enhydrobacter",0.458563535911602,0,0.00454545454545455,0.0108695652173913,0.00145605824232969
"   1378","Gemella",0.450276243093923,0.0736842105263158,0.948484848484848,0.282608695652174,0.17743109724389
"    838","Prevotella",0.428176795580111,0.315789473684211,0.962121212121212,0.206521739130435,0.665938637545502
"    469","Acinetobacter",0.425414364640884,0,0.0212121212121212,0,0.00790431617264691
"   1654","Actinomyces",0.425414364640884,0.0210526315789474,0.975757575757576,0.130434782608696,0.301508060322413
"    482","Neisseria",0.408839779005525,0.0421052631578947,0.948484848484848,0.141304347826087,0.0168486739469579
" 165779","Anaerococcus",0.408839779005525,0.0947368421052632,0,0.41304347826087,0.0330733229329173
"  29465","Veillonella",0.38121546961326,0.0631578947368421,0.968181818181818,0.108695652173913,0.437025481019241
"   1578","Lactobacillus",0.370165745856354,0.989473684210526,0.0257575757575758,0.0217391304347826,0.481539261570463
"  57493","Kocuria",0.364640883977901,0,0.00757575757575758,0.0108695652173913,0.000832033281331253
"    724","Haemophilus",0.356353591160221,0,0.946969696969697,0.228260869565217,0.402808112324493
"    836","Porphyromonas",0.314917127071823,0.0842105263157895,0.934848484848485,0.0652173913043478,0.061882475299012
"   1696","Brevibacterium",0.276243093922652,0,0,0,0.00166406656266251
"  36739","Dermabacter",0.262430939226519,0,0,0,0.000832033281331253
"2529408","Schaalia",0.256906077348066,0.0210526315789474,0.91969696969697,0.0108695652173913,0.254394175767031
" 162289","Peptoniphilus",0.256906077348066,0.0736842105263158,0.00757575757575758,0.0108695652173913,0.0400416016640666
